Number,Title_URL,Title,Author,minirating
63,https://www.goodreads.com/book/show/256566.Everything_Is_Illuminated,Everything Is Illuminated,Jonathan Safran Foer," 3.89 avg rating — 167,076 ratings"
64,https://www.goodreads.com/book/show/2318271.The_Last_Lecture,The Last Lecture,Randy Pausch," 4.25 avg rating — 309,280 ratings"
65,https://www.goodreads.com/book/show/49436.Three_Cups_of_Tea,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson," 3.65 avg rating — 330,720 ratings"
66,https://www.goodreads.com/book/show/10441.The_Memory_Keeper_s_Daughter,The Memory Keeper's Daughter,Kim Edwards," 3.68 avg rating — 565,305 ratings"
67,https://www.goodreads.com/book/show/33917.The_Namesake,The Namesake,Jhumpa Lahiri," 3.99 avg rating — 237,435 ratings"
68,https://www.goodreads.com/book/show/297673.The_Brief_Wondrous_Life_of_Oscar_Wao,The Brief Wondrous Life of Oscar Wao,Junot Díaz," 3.90 avg rating — 234,485 ratings"
69,https://www.goodreads.com/book/show/3153910-the-art-of-racing-in-the-rain,The Art of Racing in the Rain,Garth Stein," 4.21 avg rating — 458,374 ratings"
70,https://www.goodreads.com/book/show/9516.Persepolis,"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi," 4.25 avg rating — 162,681 ratings"
71,https://www.goodreads.com/book/show/46756.Oryx_and_Crake,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood," 4.01 avg rating — 226,351 ratings"
72,https://www.goodreads.com/book/show/3805.The_Corrections,The Corrections,Jonathan Franzen," 3.80 avg rating — 159,591 ratings"
73,https://www.goodreads.com/book/show/242006.Running_with_Scissors,Running with Scissors,Augusten Burroughs," 3.73 avg rating — 357,657 ratings"
74,https://www.goodreads.com/book/show/18122.The_Amber_Spyglass,"The Amber Spyglass  (His Dark Materials, #3)",Philip Pullman," 4.08 avg rating — 308,232 ratings"
75,https://www.goodreads.com/book/show/12497.No_Country_for_Old_Men,No Country for Old Men,Cormac McCarthy," 4.11 avg rating — 153,445 ratings"
76,https://www.goodreads.com/book/show/78433.The_Blind_Assassin,The Blind Assassin,Margaret Atwood," 3.95 avg rating — 137,828 ratings"
77,https://www.goodreads.com/book/show/5064.World_Without_End,"World Without End (Kingsbridge, #2)",Ken Follett," 4.26 avg rating — 205,418 ratings"
78,https://www.goodreads.com/book/show/4953.A_Heartbreaking_Work_of_Staggering_Genius,A Heartbreaking Work of Staggering Genius,Dave Eggers," 3.68 avg rating — 174,390 ratings"
79,https://www.goodreads.com/book/show/40874325-the-shack,The Shack,William Paul Young," 3.78 avg rating — 549,705 ratings"
80,https://www.goodreads.com/book/show/3109.The_Omnivore_s_Dilemma,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan," 4.16 avg rating — 187,116 ratings"
81,https://www.goodreads.com/book/show/3591262-cutting-for-stone,Cutting for Stone,Abraham   Verghese," 4.29 avg rating — 341,242 ratings"
82,https://www.goodreads.com/book/show/3867.The_History_of_Love,The History of Love,Nicole Krauss," 3.92 avg rating — 123,716 ratings"
83,https://www.goodreads.com/book/show/556602.Sarah_s_Key,Sarah's Key,Tatiana de Rosnay," 4.16 avg rating — 426,351 ratings"
84,https://www.goodreads.com/book/show/110737.Seabiscuit,Seabiscuit: An American Legend,Laura Hillenbrand," 4.20 avg rating — 148,798 ratings"
85,https://www.goodreads.com/book/show/10916.The_Pact,The Pact,Jodi Picoult," 4.01 avg rating — 276,347 ratings"
86,https://www.goodreads.com/book/show/33600.Shantaram,Shantaram,Gregory David Roberts," 4.24 avg rating — 174,546 ratings"
87,https://www.goodreads.com/book/show/24800.House_of_Leaves,House of Leaves,Mark Z. Danielewski," 4.05 avg rating — 136,767 ratings"
88,https://www.goodreads.com/book/show/187020.Empire_Falls,Empire Falls,Richard Russo," 3.91 avg rating — 113,714 ratings"
89,https://www.goodreads.com/book/show/2731276-the-story-of-edgar-sawtelle,The Story of Edgar Sawtelle,David Wroblewski," 3.62 avg rating — 93,935 ratings"
90,https://www.goodreads.com/book/show/3711.White_Teeth,White Teeth,Zadie Smith," 3.78 avg rating — 127,151 ratings"
91,https://www.goodreads.com/book/show/3682.A_Great_and_Terrible_Beauty,"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray," 3.78 avg rating — 214,294 ratings"
92,https://www.goodreads.com/book/show/40102.Blink,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell," 3.94 avg rating — 500,197 ratings"
93,https://www.goodreads.com/book/show/1097.Fast_Food_Nation,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser," 3.74 avg rating — 200,159 ratings"
94,https://www.goodreads.com/book/show/4556058-the-last-olympian,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan," 4.50 avg rating — 692,050 ratings"
95,https://www.goodreads.com/book/show/2203.John_Adams,John Adams,David McCullough," 4.05 avg rating — 320,787 ratings"
96,https://www.goodreads.com/book/show/2744.Anansi_Boys,Anansi Boys,Neil Gaiman," 4.02 avg rating — 198,319 ratings"
97,https://www.goodreads.com/book/show/16527.Daughter_of_Fortune,Daughter of Fortune,Isabel Allende," 3.90 avg rating — 117,564 ratings"
98,https://www.goodreads.com/book/show/4965.Year_of_Wonders,Year of Wonders,Geraldine Brooks,"really liked it
 4.00 avg rating — 142,791 ratings"
99,https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan," 4.24 avg rating — 775,540 ratings"
100,https://www.goodreads.com/book/show/4952.What_Is_the_What,What Is the What,Dave Eggers," 4.13 avg rating — 78,517 ratings"
101,https://www.goodreads.com/book/show/9742.The_Audacity_of_Hope,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama," 3.78 avg rating — 146,535 ratings"
102,https://www.goodreads.com/book/show/227571.Peace_Like_a_River,Peace Like a River,Leif Enger," 3.98 avg rating — 82,255 ratings"
103,https://www.goodreads.com/book/show/28194.Inkheart,"Inkheart (Inkworld, #1)",Cornelia Funke," 3.88 avg rating — 380,957 ratings"
104,https://www.goodreads.com/book/show/3777732-city-of-glass,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare," 4.31 avg rating — 815,252 ratings"
105,https://www.goodreads.com/book/show/25460.Animal_Vegetable_Miracle,"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver," 4.03 avg rating — 101,599 ratings"
106,https://www.goodreads.com/book/show/10847.Under_the_Banner_of_Heaven,Under the Banner of Heaven,Jon Krakauer," 3.99 avg rating — 161,233 ratings"
107,https://www.goodreads.com/book/show/1582996.City_of_Ashes,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare," 4.16 avg rating — 768,146 ratings"
108,https://www.goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan," 4.39 avg rating — 765,366 ratings"
109,https://www.goodreads.com/book/show/8908.World_War_Z,World War Z: An Oral History of the Zombie War,Max Brooks," 4.01 avg rating — 450,551 ratings"
110,https://www.goodreads.com/book/show/561456.The_Titan_s_Curse,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan," 4.34 avg rating — 711,465 ratings"
111,https://www.goodreads.com/book/show/39999.The_Boy_in_the_Striped_Pajamas,The Boy in the Striped Pajamas,John Boyne," 4.15 avg rating — 542,285 ratings"
112,https://www.goodreads.com/book/show/43944.Suite_Fran_aise,Suite Française,Irène Némirovsky," 3.82 avg rating — 66,663 ratings"
113,https://www.goodreads.com/book/show/21.A_Short_History_of_Nearly_Everything,A Short History of Nearly Everything,Bill Bryson," 4.19 avg rating — 309,040 ratings"
114,https://www.goodreads.com/book/show/14864.Plain_Truth,Plain Truth,Jodi Picoult," 3.97 avg rating — 165,808 ratings"
115,https://www.goodreads.com/book/show/65110.The_Penultimate_Peril,"The Penultimate Peril (A Series of Unfortunate Events, #12)",Lemony Snicket," 4.05 avg rating — 90,854 ratings"
116,https://www.goodreads.com/book/show/68210.Gilead,Gilead,Marilynne Robinson," 3.85 avg rating — 84,053 ratings"
117,https://www.goodreads.com/book/show/3236307-graceling,"Graceling (Graceling Realm, #1)",Kristin Cashore," 4.07 avg rating — 395,627 ratings"
118,https://www.goodreads.com/book/show/69136.The_Book_of_Lost_Things,The Book of Lost Things,John Connolly," 3.93 avg rating — 73,413 ratings"
119,https://www.goodreads.com/book/show/28881.Lamb,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore," 4.23 avg rating — 155,072 ratings"
120,https://www.goodreads.com/book/show/10569.On_Writing,On Writing: A Memoir of the Craft,Stephen King," 4.32 avg rating — 228,856 ratings"
121,https://www.goodreads.com/book/show/2282133.Frostbite,"Frostbite (Vampire Academy, #2)",Richelle Mead," 4.26 avg rating — 317,731 ratings"
122,https://www.goodreads.com/book/show/80660.We_Need_to_Talk_About_Kevin,We Need to Talk About Kevin,Lionel Shriver," 4.05 avg rating — 168,981 ratings"
123,https://www.goodreads.com/book/show/514811.The_Secret_Magdalene,The Secret Magdalene,Ki Longfellow," 4.08 avg rating — 4,345 ratings"
124,https://www.goodreads.com/book/show/13497.A_Feast_for_Crows,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin," 4.14 avg rating — 638,880 ratings"
125,https://www.goodreads.com/book/show/2802316-shadow-kiss,"Shadow Kiss (Vampire Academy, #3)",Richelle Mead," 4.34 avg rating — 333,160 ratings"
126,https://www.goodreads.com/book/show/12691.Marley_and_Me,Marley and Me: Life and Love With the World's Worst Dog,John Grogan," 4.13 avg rating — 446,608 ratings"
127,https://www.goodreads.com/book/show/21671.Mystic_River,Mystic River,Dennis Lehane," 4.16 avg rating — 132,372 ratings"
128,https://www.goodreads.com/book/show/6411961-the-lost-symbol,"The Lost Symbol (Robert Langdon, #3)",Dan Brown," 3.71 avg rating — 531,856 ratings"
129,https://www.goodreads.com/book/show/14249.Prodigal_Summer,Prodigal Summer,Barbara Kingsolver," 3.99 avg rating — 100,287 ratings"
130,https://www.goodreads.com/book/show/2967752-the-elegance-of-the-hedgehog,The Elegance of the Hedgehog,Muriel Barbery," 3.77 avg rating — 152,765 ratings"
131,https://www.goodreads.com/book/show/9673436-the-invention-of-hugo-cabret,The Invention of Hugo Cabret,Brian Selznick," 4.20 avg rating — 167,811 ratings"
132,https://www.goodreads.com/book/show/249747.Artemis_Fowl,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer," 3.84 avg rating — 508,690 ratings"
133,https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard,The Tales of Beedle the Bard,J.K. Rowling," 4.05 avg rating — 419,357 ratings"
134,https://www.goodreads.com/book/show/27003.The_Eyre_Affair,"The Eyre Affair (Thursday Next, #1)",Jasper Fforde," 3.87 avg rating — 124,553 ratings"
135,https://www.goodreads.com/book/show/5996153-blood-promise,"Blood Promise (Vampire Academy, #4)",Richelle Mead," 4.31 avg rating — 283,775 ratings"
136,https://www.goodreads.com/book/show/2153405.Still_Alice,Still Alice,Lisa Genova," 4.31 avg rating — 300,838 ratings"
137,https://www.goodreads.com/book/show/7603.Reading_Lolita_in_Tehran,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi," 3.61 avg rating — 121,536 ratings"
138,https://www.goodreads.com/book/show/37190.The_Tale_of_Despereaux,The Tale of Despereaux,Kate DiCamillo," 4.04 avg rating — 166,959 ratings"
139,https://www.goodreads.com/book/show/9416.Confessions_of_a_Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella," 3.66 avg rating — 656,113 ratings"
140,https://www.goodreads.com/book/show/67.The_Known_World,The Known World,Edward P. Jones," 3.81 avg rating — 37,041 ratings"
141,https://www.goodreads.com/book/show/16703.The_Yiddish_Policemen_s_Union,The Yiddish Policemen's Union,Michael Chabon," 3.71 avg rating — 70,515 ratings"
142,https://www.goodreads.com/book/show/1379961.People_of_the_Book,People of the Book,Geraldine Brooks," 4.02 avg rating — 126,231 ratings"
143,https://www.goodreads.com/book/show/693208.The_Absolutely_True_Diary_of_a_Part_Time_Indian,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie," 4.09 avg rating — 230,233 ratings"
144,https://www.goodreads.com/book/show/1869.Nickel_and_Dimed,Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich," 3.63 avg rating — 180,472 ratings"
145,https://www.goodreads.com/book/show/6948436-little-bee,Little Bee,Chris Cleave," 3.71 avg rating — 226,479 ratings"
146,https://www.goodreads.com/book/show/1241.A_Million_Little_Pieces,A Million Little Pieces,James Frey," 3.65 avg rating — 227,407 ratings"
147,https://www.goodreads.com/book/show/1768603.The_White_Tiger,The White Tiger,Aravind Adiga," 3.74 avg rating — 161,365 ratings"
148,https://www.goodreads.com/book/show/6186357-the-maze-runner,"The Maze Runner (The Maze Runner, #1)",James Dashner," 4.03 avg rating — 1,095,644 ratings"
149,https://www.goodreads.com/book/show/301082.Dead_Until_Dark,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris," 3.96 avg rating — 502,662 ratings"
150,https://www.goodreads.com/book/show/1736739.Olive_Kitteridge,"Olive Kitteridge (Olive Kitteridge, #1)",Elizabeth Strout," 3.83 avg rating — 179,333 ratings"
151,https://www.goodreads.com/book/show/6068551-shiver,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater," 3.77 avg rating — 440,501 ratings"
152,https://www.goodreads.com/book/show/307791.The_City_of_Ember,"The City of Ember (Book of Ember, #1)",Jeanne DuPrau," 3.86 avg rating — 251,408 ratings"
153,https://www.goodreads.com/book/show/7815.The_Year_of_Magical_Thinking,The Year of Magical Thinking,Joan Didion," 3.89 avg rating — 148,126 ratings"
154,https://www.goodreads.com/book/show/8600.Eats_Shoots_Leaves,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss," 3.86 avg rating — 99,907 ratings"
155,https://www.goodreads.com/book/show/29844228-thirteen-reasons-why,Thirteen Reasons Why,Jay Asher," 3.91 avg rating — 790,776 ratings"
